law_section_id,law_code,section,heading,full_text,reference_label,reference_normalized,retrieval_text
LAW-001,Sähköturvallisuuslaki 1135/2016,43 §,Sähkölaitteiston käyttöönottotarkastus,"Sähkölaitteisto saadaan ottaa käyttöön vasta, kun käyttöönottotarkastuksessa on riittävässä laajuudessa selvitetty, että siitä ei aiheudu 6 §:ssä tarkoitettua vaaraa tai häiriötä. Käyttöönottotarkastus on tehtävä myös sähkölaitteiston muutos- ja laajennustöille. Sähkölaitteiston rakentajan tulee huolehtia käyttöönottotarkastuksesta. Tarkastuspöytäkirja on laadittava vähäisiksi katsottavia töitä lukuun ottamatta; testausten tulokset on kuitenkin tarvittaessa annettava laitteiston haltijalle.",Sähköturvallisuuslaki 1135/2016 43 §,Sähköturvallisuuslaki 1135/2016 43 §,"Sähköturvallisuuslaki 1135/2016 | 43 § | Sähkölaitteiston käyttöönottotarkastus | Sähkölaitteisto saadaan ottaa käyttöön vasta, kun käyttöönottotarkastuksessa on riittävässä laajuudessa selvitetty, että siitä ei aiheudu 6 §:ssä tarkoitettua vaaraa tai häiriötä. Käyttöönottotarkastus on tehtävä myös sähkölaitteiston muutos- ja laajennustöille. Sähkölaitteiston rakentajan tulee huolehtia käyttöönottotarkastuksesta. Tarkastuspöytäkirja on laadittava vähäisiksi katsottavia töitä lukuun ottamatta; testausten tulokset on kuitenkin tarvittaessa annettava laitteiston haltijalle."
LAW-002,Sähköturvallisuuslaki 1135/2016,45 §,Sähkölaitteiston varmennustarkastus,"Sähkölaitteistolle on tehtävä käyttöönottotarkastuksen lisäksi varmennustarkastus, jos kyseessä on luokan 1, 2 tai 3 sähkölaitteisto. Varmennustarkastus on tehtävä myös merkittävälle muutos- ja laajennustyölle. Rakentajan tulee huolehtia varmennustarkastuksesta, ja jos tämä laiminlyö velvollisuutensa tai on estynyt, haltijan tulee huolehtia tarkastuksesta.",Sähköturvallisuuslaki 1135/2016 45 §,Sähköturvallisuuslaki 1135/2016 45 §,"Sähköturvallisuuslaki 1135/2016 | 45 § | Sähkölaitteiston varmennustarkastus | Sähkölaitteistolle on tehtävä käyttöönottotarkastuksen lisäksi varmennustarkastus, jos kyseessä on luokan 1, 2 tai 3 sähkölaitteisto. Varmennustarkastus on tehtävä myös merkittävälle muutos- ja laajennustyölle. Rakentajan tulee huolehtia varmennustarkastuksesta, ja jos tämä laiminlyö velvollisuutensa tai on estynyt, haltijan tulee huolehtia tarkastuksesta."
LAW-003,Sähköturvallisuuslaki 1135/2016,46 §,"Varmennustarkastuksen ajankohta, sisältö ja suorittaja","Varmennustarkastus on tehtävä ennen sähkölaitteiston ottamista varsinaiseen käyttötarkoitukseensa tai tietyn ajan kuluessa sen jälkeen. Pistokokein tai muulla soveltuvalla tavalla on varmistettava, että laitteisto täyttää sähköturvallisuudelle ja sähkömagneettiselle yhteensopivuudelle säädetyt vaatimukset sekä että käyttöönottotarkastus on tehty asianmukaisesti. Tarkastukseen sisältyvät tarvittaessa lääkintätilat, räjähdysvaaralliset tilat ja palovaaralliset tilat. Tarkastuksen voi tehdä valtuutettu laitos tai valtuutettu tarkastaja.",Sähköturvallisuuslaki 1135/2016 46 §,Sähköturvallisuuslaki 1135/2016 46 §,"Sähköturvallisuuslaki 1135/2016 | 46 § | Varmennustarkastuksen ajankohta, sisältö ja suorittaja | Varmennustarkastus on tehtävä ennen sähkölaitteiston ottamista varsinaiseen käyttötarkoitukseensa tai tietyn ajan kuluessa sen jälkeen. Pistokokein tai muulla soveltuvalla tavalla on varmistettava, että laitteisto täyttää sähköturvallisuudelle ja sähkömagneettiselle yhteensopivuudelle säädetyt vaatimukset sekä että käyttöönottotarkastus on tehty asianmukaisesti. Tarkastukseen sisältyvät tarvittaessa lääkintätilat, räjähdysvaaralliset tilat ja palovaaralliset tilat. Tarkastuksen voi tehdä valtuutettu laitos tai valtuutettu tarkastaja."
LAW-004,Sähköturvallisuuslaki 1135/2016,47 §,Sähkölaitteiston haltijan vastuu,"Sähkölaitteiston haltija on vastuussa laitteiston turvallisuudesta, sen ylläpitämiseksi tarvittavasta kunnossapidosta sekä siitä, että laitteisto täyttää lain vaatimukset. Haltijan on huolehdittava laitteiston kunnon ja turvallisuuden tarkkailusta sekä vikojen ja puutteiden poistamisesta riittävän nopeasti.",Sähköturvallisuuslaki 1135/2016 47 §,Sähköturvallisuuslaki 1135/2016 47 §,"Sähköturvallisuuslaki 1135/2016 | 47 § | Sähkölaitteiston haltijan vastuu | Sähkölaitteiston haltija on vastuussa laitteiston turvallisuudesta, sen ylläpitämiseksi tarvittavasta kunnossapidosta sekä siitä, että laitteisto täyttää lain vaatimukset. Haltijan on huolehdittava laitteiston kunnon ja turvallisuuden tarkkailusta sekä vikojen ja puutteiden poistamisesta riittävän nopeasti."
LAW-005,Sähköturvallisuuslaki 1135/2016,49 §,Sähkölaitteiston määräaikaistarkastus,Käytössä olevalle luokan 1 ja 2 sähkölaitteistolle asuinrakennuksia lukuun ottamatta on tehtävä määräaikaistarkastus kymmenen vuoden välein. Luokan 3 sähkölaitteistolle määräaikaistarkastus on tehtävä viiden vuoden välein. Haltijan tulee huolehtia määräaikaistarkastuksesta.,Sähköturvallisuuslaki 1135/2016 49 §,Sähköturvallisuuslaki 1135/2016 49 §,Sähköturvallisuuslaki 1135/2016 | 49 § | Sähkölaitteiston määräaikaistarkastus | Käytössä olevalle luokan 1 ja 2 sähkölaitteistolle asuinrakennuksia lukuun ottamatta on tehtävä määräaikaistarkastus kymmenen vuoden välein. Luokan 3 sähkölaitteistolle määräaikaistarkastus on tehtävä viiden vuoden välein. Haltijan tulee huolehtia määräaikaistarkastuksesta.
LAW-006,Sähköturvallisuuslaki 1135/2016,50 §,Määräaikaistarkastuksen sisältö ja suorittaja,"Määräaikaistarkastuksessa tulee riittävässä laajuudessa pistokokein tai muulla soveltuvalla tavalla varmistua siitä, että sähkölaitteiston käyttö on turvallista, kunnossapito riittävää, käyttöön ja hoitoon tarvittavat välineet, piirustukset, kaaviot ja ohjeet ovat käytettävissä sekä laajennus- ja muutostöistä on asianmukaiset tarkastuspöytäkirjat. Määräaikaistarkastukseen on aina sisällytettävä kohteessa mahdolliset lääkintätilat, räjähdysvaaralliset tilat ja palovaaralliset tilat.",Sähköturvallisuuslaki 1135/2016 50 §,Sähköturvallisuuslaki 1135/2016 50 §,"Sähköturvallisuuslaki 1135/2016 | 50 § | Määräaikaistarkastuksen sisältö ja suorittaja | Määräaikaistarkastuksessa tulee riittävässä laajuudessa pistokokein tai muulla soveltuvalla tavalla varmistua siitä, että sähkölaitteiston käyttö on turvallista, kunnossapito riittävää, käyttöön ja hoitoon tarvittavat välineet, piirustukset, kaaviot ja ohjeet ovat käytettävissä sekä laajennus- ja muutostöistä on asianmukaiset tarkastuspöytäkirjat. Määräaikaistarkastukseen on aina sisällytettävä kohteessa mahdolliset lääkintätilat, räjähdysvaaralliset tilat ja palovaaralliset tilat."
LAW-007,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,4 §,Käyttöönottotarkastuspöytäkirjan sisältö,"Käyttöönottotarkastuspöytäkirjasta tulee käydä ilmi kohteen yksilöintitiedot, sähkölaitteiston rakentajan ja sähkötöiden johtajan nimi ja yhteystiedot, selvitys säännösten ja määräysten mukaisuudesta, sovelletut standardit, mahdollisten poikkeamien osalta sähköturvallisuuslain 34 §:n mukaisen selvityksen olemassaolo, yleiskuvaus käytetyistä tarkastusmenetelmistä sekä tarkastusten ja testausten tulokset.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 4 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 4 §,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 4 § | Käyttöönottotarkastuspöytäkirjan sisältö | Käyttöönottotarkastuspöytäkirjasta tulee käydä ilmi kohteen yksilöintitiedot, sähkölaitteiston rakentajan ja sähkötöiden johtajan nimi ja yhteystiedot, selvitys säännösten ja määräysten mukaisuudesta, sovelletut standardit, mahdollisten poikkeamien osalta sähköturvallisuuslain 34 §:n mukaisen selvityksen olemassaolo, yleiskuvaus käytetyistä tarkastusmenetelmistä sekä tarkastusten ja testausten tulokset."
LAW-008,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,5 §,Vähäisiksi katsottavat työt käyttöönottotarkastuksessa,"Käyttöönottotarkastuspöytäkirjaa ei edellytetä muun muassa sellaisista töistä, joista voi aiheutua vain vähäistä vaaraa tai häiriötä, enintään 50 V AC / 120 V DC asennuksista, yksittäisten komponenttien vaihdoista tai lisäyksistä, yksittäisten kojeiden syöttöön liittyvistä muutostöistä enintään 1000 V nimellisjännitteellä, tietyistä kytkinlaitosmuutoksista sekä standardien mukaisista tilapäislaitteistoista.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 5 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 5 §,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 5 § | Vähäisiksi katsottavat työt käyttöönottotarkastuksessa | Käyttöönottotarkastuspöytäkirjaa ei edellytetä muun muassa sellaisista töistä, joista voi aiheutua vain vähäistä vaaraa tai häiriötä, enintään 50 V AC / 120 V DC asennuksista, yksittäisten komponenttien vaihdoista tai lisäyksistä, yksittäisten kojeiden syöttöön liittyvistä muutostöistä enintään 1000 V nimellisjännitteellä, tietyistä kytkinlaitosmuutoksista sekä standardien mukaisista tilapäislaitteistoista."
LAW-009,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,7 §,Varmennustarkastuksen ajankohta,Varmennustarkastus on tehtävä kolmen kuukauden kuluessa sähkölaitteiston käyttöönotosta. Verkonhaltijan rakennetuille verkoille tarkastus tehdään rakentamista seuraavan kalenterivuoden kuluessa. Eräissä 6 §:n 2 momentin kohteissa varmennustarkastus on tehtävä ennen tilojen ottamista varsinaiseen käyttötarkoitukseensa.,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 7 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 7 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 7 § | Varmennustarkastuksen ajankohta | Varmennustarkastus on tehtävä kolmen kuukauden kuluessa sähkölaitteiston käyttöönotosta. Verkonhaltijan rakennetuille verkoille tarkastus tehdään rakentamista seuraavan kalenterivuoden kuluessa. Eräissä 6 §:n 2 momentin kohteissa varmennustarkastus on tehtävä ennen tilojen ottamista varsinaiseen käyttötarkoitukseensa.
LAW-010,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,8 §,Varmennustarkastustodistus,"Varmennustarkastustodistuksesta tulee käydä ilmi kohteen yksilöintitiedot, tarkastusmenetelmä ja selvitys sähkölaitteiston säännösten ja määräysten mukaisuudesta. Todistukseen on kirjattava havaitut määräysten vastaisuudet ja tarkastuksen tekijän on allekirjoitettava tai varmennettava se luotettavalla tavalla.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 8 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 8 §,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 8 § | Varmennustarkastustodistus | Varmennustarkastustodistuksesta tulee käydä ilmi kohteen yksilöintitiedot, tarkastusmenetelmä ja selvitys sähkölaitteiston säännösten ja määräysten mukaisuudesta. Todistukseen on kirjattava havaitut määräysten vastaisuudet ja tarkastuksen tekijän on allekirjoitettava tai varmennettava se luotettavalla tavalla."
LAW-011,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,9 §,Varmennustarkastuksen tarkastustarra,"Tarkastustarrasta tulee käydä ilmi tarkastuksen tekijä, tarkastusajankohta ja tarvittaessa seuraavan määräaikaistarkastuksen ajankohta.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 9 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 9 §,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 9 § | Varmennustarkastuksen tarkastustarra | Tarkastustarrasta tulee käydä ilmi tarkastuksen tekijä, tarkastusajankohta ja tarvittaessa seuraavan määräaikaistarkastuksen ajankohta."
LAW-012,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,10 §,Määräaikaistarkastuksen pöytäkirja,Määräaikaistarkastuksen pöytäkirjassa on yksilöitävä tarkastusta koskevat tiedot ja havaitut sähköturvallisuuteen liittyvät puutteet. Tarkastuksen tekijän on allekirjoitettava pöytäkirja tai varmennettava se muulla vastaavalla luotettavalla tavalla.,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 10 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 10 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 10 § | Määräaikaistarkastuksen pöytäkirja | Määräaikaistarkastuksen pöytäkirjassa on yksilöitävä tarkastusta koskevat tiedot ja havaitut sähköturvallisuuteen liittyvät puutteet. Tarkastuksen tekijän on allekirjoitettava pöytäkirja tai varmennettava se muulla vastaavalla luotettavalla tavalla.
LAW-013,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,11 §,Määräaikaistarkastuksen tarkastustarra,"Tarkastustarrassa tulee käydä ilmi tarkastuksen tekijä, tarkastusajankohta ja seuraavan määräaikaistarkastuksen ajankohta.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 11 §,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 11 §,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | 11 § | Määräaikaistarkastuksen tarkastustarra | Tarkastustarrassa tulee käydä ilmi tarkastuksen tekijä, tarkastusajankohta ja seuraavan määräaikaistarkastuksen ajankohta."
LAW-014,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003,6 §,Räjähdysten estäminen ja räjähdyksiltä suojautuminen,Toiminnanharjoittajan on toteutettava asianmukaiset tekniset tai työjärjestelyitä koskevat toimenpiteet räjähdysten estämiseksi ja mahdollisilta räjähdyksiltä suojautumiseksi. Toimenpiteisiin kuuluu räjähdyskelpoisten ilmaseosten muodostumisen tai syttymisen estäminen sekä räjähdyksen vahingollisten vaikutusten vähentäminen. Toimenpiteet on tarkistettava säännöllisesti ja aina merkittävien muutosten yhteydessä.,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 6 §,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 6 §,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 | 6 § | Räjähdysten estäminen ja räjähdyksiltä suojautuminen | Toiminnanharjoittajan on toteutettava asianmukaiset tekniset tai työjärjestelyitä koskevat toimenpiteet räjähdysten estämiseksi ja mahdollisilta räjähdyksiltä suojautumiseksi. Toimenpiteisiin kuuluu räjähdyskelpoisten ilmaseosten muodostumisen tai syttymisen estäminen sekä räjähdyksen vahingollisten vaikutusten vähentäminen. Toimenpiteet on tarkistettava säännöllisesti ja aina merkittävien muutosten yhteydessä.
LAW-015,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003,7 §,Räjähdysvaaralliset tilat,Räjähdysvaaralliset tilat on luokiteltava liitteen 1 mukaisesti ja niissä on noudatettava liitteen 2 vähimmäisvaatimuksia. Tarvittaessa sisäänkäyntien yhteydessä on oltava liitteen 3 mukainen merkintä.,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 7 §,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 7 §,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 | 7 § | Räjähdysvaaralliset tilat | Räjähdysvaaralliset tilat on luokiteltava liitteen 1 mukaisesti ja niissä on noudatettava liitteen 2 vähimmäisvaatimuksia. Tarvittaessa sisäänkäyntien yhteydessä on oltava liitteen 3 mukainen merkintä.
LAW-016,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003,8 §,Räjähdyssuojausasiakirja,"Selvityksen ja arvioinnin perusteella on laadittava räjähdyssuojausasiakirja ja pidettävä se ajan tasalla. Asiakirjassa on esitettävä ainakin, että räjähdysvaara on määritetty ja sen merkitys arvioitu, että asianmukaiset toimenpiteet toteutetaan, mitkä tilat on luokiteltu, mihin tiloihin vähimmäisvaatimuksia sovelletaan, sekä että työpaikka, työvälineet, varoituslaitteet ja niiden käyttö sekä huolto on järjestetty turvallisesti. Asiakirja on laadittava ennen työn aloittamista ja tarkistettava olennaisten muutosten yhteydessä.",Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8 §,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8 §,"Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 | 8 § | Räjähdyssuojausasiakirja | Selvityksen ja arvioinnin perusteella on laadittava räjähdyssuojausasiakirja ja pidettävä se ajan tasalla. Asiakirjassa on esitettävä ainakin, että räjähdysvaara on määritetty ja sen merkitys arvioitu, että asianmukaiset toimenpiteet toteutetaan, mitkä tilat on luokiteltu, mihin tiloihin vähimmäisvaatimuksia sovelletaan, sekä että työpaikka, työvälineet, varoituslaitteet ja niiden käyttö sekä huolto on järjestetty turvallisesti. Asiakirja on laadittava ennen työn aloittamista ja tarkistettava olennaisten muutosten yhteydessä."
LAW-017,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,Liite 21,"Merkinnät, varoituskilvet, kaaviot ja ohjeet","Sähkölaitteisto on varustettava käyttöä ja hoitoa varten tarpeellisilla merkinnöillä ja varoituskilvillä. Suojalaitteet, johdot ja johtimet on ryhmiteltävä selkeästi ja tarvittaessa merkittävä siten, että virtapiirit voidaan tunnistaa. Sähkölaitteistosta on laadittava sen rakentamista, käyttöä ja hoitoa varten tarvittavat kaaviot ja ohjeet.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 Liite 21,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 Liite 21,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | Liite 21 | Merkinnät, varoituskilvet, kaaviot ja ohjeet | Sähkölaitteisto on varustettava käyttöä ja hoitoa varten tarpeellisilla merkinnöillä ja varoituskilvillä. Suojalaitteet, johdot ja johtimet on ryhmiteltävä selkeästi ja tarvittaessa merkittävä siten, että virtapiirit voidaan tunnistaa. Sähkölaitteistosta on laadittava sen rakentamista, käyttöä ja hoitoa varten tarvittavat kaaviot ja ohjeet."
LAW-018,Valtioneuvoston asetus sähkölaitteistoista 1434/2016,Liite 24,Nopea erotus hätätilanteissa,"Jos vaaran esiintyessä on tarpeen katkaista sähkön syöttö välittömästi, katkaiseva laite tai sitä ohjaava laite on asennettava siten, että se on helposti havaittavissa ja tehokkaasti sekä nopeasti käytettävissä.",Valtioneuvoston asetus sähkölaitteistoista 1434/2016 Liite 24,Valtioneuvoston asetus sähkölaitteistoista 1434/2016 Liite 24,"Valtioneuvoston asetus sähkölaitteistoista 1434/2016 | Liite 24 | Nopea erotus hätätilanteissa | Jos vaaran esiintyessä on tarpeen katkaista sähkön syöttö välittömästi, katkaiseva laite tai sitä ohjaava laite on asennettava siten, että se on helposti havaittavissa ja tehokkaasti sekä nopeasti käytettävissä."
